YEAR,REGION,AREA,TYPE_EXPENSE,VALUE,UNIT,SOURCE
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,"ที่อยู่อาศัย เครื่องแต่งบ้าน และเครื่องใช้ต่าง ๆ",2685,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,เครื่องนุ่งห่มและรองเท้า,400,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,ค่าใช้จ่ายส่วนบุคคล,446,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,เวชภัณฑ์และค่าตรวจรักษาพยาบาล,197,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,การเดินทางและการสื่อสาร,3125,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,การศึกษา,161,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,"การบันเทิง การอ่านและกิจกรรมทางศาสนา",227,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,การจัดงานพิธีในโอกาสพิเศษ,241,บาท,สำนักงานสถิติแห่งชาติ
2554,ทั่วราชอาณาจักร,นอกเขตเทศบาล,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค,1598,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,27566,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค,24063,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,"อาหาร และเครื่องดื่ม (ไม่มีแอลกอฮอล์)",6376,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,เครื่องดื่มที่มีแอลกอฮอล์,113,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,"ยาสูบ หมาก ยานัตถุ์ และอื่นๆ ",97,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,"ที่อยู่อาศัย เครื่องแต่งบ้าน และเครื่องใช้ต่าง ๆ",7241,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,เครื่องนุ่งห่มและรองเท้า,781,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,ค่าใช้จ่ายส่วนบุคคล,971,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,เวชภัณฑ์และค่าตรวจรักษาพยาบาล,583,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,การเดินทางและการสื่อสาร,6608,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,การศึกษา,731,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,"การบันเทิง การอ่านและกิจกรรมทางศาสนา",485,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,การจัดงานพิธีในโอกาสพิเศษ,79,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",รวม,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค,3503,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,28435,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค,24866,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,"อาหาร และเครื่องดื่ม (ไม่มีแอลกอฮอล์)",6278,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,เครื่องดื่มที่มีแอลกอฮอล์,105,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,"ยาสูบ หมาก ยานัตถุ์ และอื่นๆ ",91,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,"ที่อยู่อาศัย เครื่องแต่งบ้าน และเครื่องใช้ต่าง ๆ",7717,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,เครื่องนุ่งห่มและรองเท้า,834,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,ค่าใช้จ่ายส่วนบุคคล,995,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,เวชภัณฑ์และค่าตรวจรักษาพยาบาล,636,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,การเดินทางและการสื่อสาร,6825,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,การศึกษา,785,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,"การบันเทิง การอ่านและกิจกรรมทางศาสนา",510,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,การจัดงานพิธีในโอกาสพิเศษ,90,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",ในเขตเทศบาล,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค,3569,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,22472,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค,19359,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,"อาหาร และเครื่องดื่ม (ไม่มีแอลกอฮอล์)",6948,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,เครื่องดื่มที่มีแอลกอฮอล์,157,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,"ยาสูบ หมาก ยานัตถุ์ และอื่นๆ ",130,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,"ที่อยู่อาศัย เครื่องแต่งบ้าน และเครื่องใช้ต่าง ๆ",4449,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,เครื่องนุ่งห่มและรองเท้า,471,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,ค่าใช้จ่ายส่วนบุคคล,831,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,เวชภัณฑ์และค่าตรวจรักษาพยาบาล,275,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,การเดินทางและการสื่อสาร,5332,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,การศึกษา,412,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,"การบันเทิง การอ่านและกิจกรรมทางศาสนา",342,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,การจัดงานพิธีในโอกาสพิเศษ,13,บาท,สำนักงานสถิติแห่งชาติ
2554,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",นอกเขตเทศบาล,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค,3114,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,16954,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค,14952,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,"อาหาร และเครื่องดื่ม (ไม่มีแอลกอฮอล์)",5619,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,เครื่องดื่มที่มีแอลกอฮอล์,140,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,"ยาสูบ หมาก ยานัตถุ์ และอื่นๆ ",114,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,"ที่อยู่อาศัย เครื่องแต่งบ้าน และเครื่องใช้ต่าง ๆ",3469,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,เครื่องนุ่งห่มและรองเท้า,466,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,ค่าใช้จ่ายส่วนบุคคล,569,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,เวชภัณฑ์และค่าตรวจรักษาพยาบาล,233,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,การเดินทางและการสื่อสาร,3666,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,การศึกษา,217,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,"การบันเทิง การอ่านและกิจกรรมทางศาสนา",329,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,การจัดงานพิธีในโอกาสพิเศษ,133,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,รวม,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค,2002,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,ในเขตเทศบาล,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,18555,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,ในเขตเทศบาล,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค,16089,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,ในเขตเทศบาล,"อาหาร และเครื่องดื่ม (ไม่มีแอลกอฮอล์)",5862,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,ในเขตเทศบาล,เครื่องดื่มที่มีแอลกอฮอล์,138,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,ในเขตเทศบาล,"ยาสูบ หมาก ยานัตถุ์ และอื่นๆ ",120,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,ในเขตเทศบาล,"ที่อยู่อาศัย เครื่องแต่งบ้าน และเครื่องใช้ต่าง ๆ",3869,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,ในเขตเทศบาล,เครื่องนุ่งห่มและรองเท้า,524,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,ในเขตเทศบาล,ค่าใช้จ่ายส่วนบุคคล,663,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,ในเขตเทศบาล,เวชภัณฑ์และค่าตรวจรักษาพยาบาล,244,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,ในเขตเทศบาล,การเดินทางและการสื่อสาร,3899,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,ในเขตเทศบาล,การศึกษา,287,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,ในเขตเทศบาล,"การบันเทิง การอ่านและกิจกรรมทางศาสนา",396,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,ในเขตเทศบาล,การจัดงานพิธีในโอกาสพิเศษ,87,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,ในเขตเทศบาล,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค,2466,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,นอกเขตเทศบาล,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,16076,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,นอกเขตเทศบาล,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค,14328,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,นอกเขตเทศบาล,"อาหาร และเครื่องดื่ม (ไม่มีแอลกอฮอล์)",5485,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,นอกเขตเทศบาล,เครื่องดื่มที่มีแอลกอฮอล์,141,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,นอกเขตเทศบาล,"ยาสูบ หมาก ยานัตถุ์ และอื่นๆ ",110,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,นอกเขตเทศบาล,"ที่อยู่อาศัย เครื่องแต่งบ้าน และเครื่องใช้ต่าง ๆ",3249,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,นอกเขตเทศบาล,เครื่องนุ่งห่มและรองเท้า,434,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,นอกเขตเทศบาล,ค่าใช้จ่ายส่วนบุคคล,517,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,นอกเขตเทศบาล,เวชภัณฑ์และค่าตรวจรักษาพยาบาล,227,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,นอกเขตเทศบาล,การเดินทางและการสื่อสาร,3538,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,นอกเขตเทศบาล,การศึกษา,178,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,นอกเขตเทศบาล,"การบันเทิง การอ่านและกิจกรรมทางศาสนา",292,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,นอกเขตเทศบาล,การจัดงานพิธีในโอกาสพิเศษ,159,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง,นอกเขตเทศบาล,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค,1748,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,รวม,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,13668,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,รวม,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค,11978,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,รวม,"อาหาร และเครื่องดื่ม (ไม่มีแอลกอฮอล์)",4901,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,รวม,เครื่องดื่มที่มีแอลกอฮอล์,78,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,รวม,"ยาสูบ หมาก ยานัตถุ์ และอื่นๆ ",53,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,รวม,"ที่อยู่อาศัย เครื่องแต่งบ้าน และเครื่องใช้ต่าง ๆ",2569,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,รวม,เครื่องนุ่งห่มและรองเท้า,374,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,รวม,ค่าใช้จ่ายส่วนบุคคล,441,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,รวม,เวชภัณฑ์และค่าตรวจรักษาพยาบาล,202,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,รวม,การเดินทางและการสื่อสาร,2745,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,รวม,การศึกษา,175,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,รวม,"การบันเทิง การอ่านและกิจกรรมทางศาสนา",238,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,รวม,การจัดงานพิธีในโอกาสพิเศษ,201,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,รวม,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค,1690,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,ในเขตเทศบาล,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,17299,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,ในเขตเทศบาล,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค,14843,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,ในเขตเทศบาล,"อาหาร และเครื่องดื่ม (ไม่มีแอลกอฮอล์)",5446,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,ในเขตเทศบาล,เครื่องดื่มที่มีแอลกอฮอล์,91,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,ในเขตเทศบาล,"ยาสูบ หมาก ยานัตถุ์ และอื่นๆ ",59,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,ในเขตเทศบาล,"ที่อยู่อาศัย เครื่องแต่งบ้าน และเครื่องใช้ต่าง ๆ",3299,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,ในเขตเทศบาล,เครื่องนุ่งห่มและรองเท้า,503,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,ในเขตเทศบาล,ค่าใช้จ่ายส่วนบุคคล,621,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,ในเขตเทศบาล,เวชภัณฑ์และค่าตรวจรักษาพยาบาล,278,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,ในเขตเทศบาล,การเดินทางและการสื่อสาร,3670,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,ในเขตเทศบาล,การศึกษา,296,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,ในเขตเทศบาล,"การบันเทิง การอ่านและกิจกรรมทางศาสนา",360,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,ในเขตเทศบาล,การจัดงานพิธีในโอกาสพิเศษ,220,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,ในเขตเทศบาล,ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค,2456,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,นอกเขตเทศบาล,ค่าใช้จ่ายทั้งสิ้นต่อเดือน,12219,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,นอกเขตเทศบาล,ค่าใช้จ่ายเพื่อการอุปโภคบริโภค,10835,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,นอกเขตเทศบาล,"อาหาร และเครื่องดื่ม (ไม่มีแอลกอฮอล์)",4684,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,นอกเขตเทศบาล,เครื่องดื่มที่มีแอลกอฮอล์,73,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,นอกเขตเทศบาล,"ยาสูบ หมาก ยานัตถุ์ และอื่นๆ ",51,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,นอกเขตเทศบาล,"ที่อยู่อาศัย เครื่องแต่งบ้าน และเครื่องใช้ต่าง ๆ",2278,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,นอกเขตเทศบาล,เครื่องนุ่งห่มและรองเท้า,322,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,นอกเขตเทศบาล,ค่าใช้จ่ายส่วนบุคคล,370,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,นอกเขตเทศบาล,เวชภัณฑ์และค่าตรวจรักษาพยาบาล,171,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,นอกเขตเทศบาล,การเดินทางและการสื่อสาร,2376,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,นอกเขตเทศบาล,การศึกษา,127,บาท,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,นอกเขตเทศบาล,"การบันเทิง การอ่านและกิจกรรมทางศาสนา",190,บาท,สำนักงานสถิติแห่งชาติ
